ID,kayit_zamani,enlem,boylam,Tesis_Türü,Sonuç,Sızıntı_Olasılığı,Ses_Gücü
6099,24-11-01 09:57:32,39.95910397,32.88583,Sayaç,N,0.00,0.42
6402,24-11-01 10:18:23,39.9615185,32.88230304,Sayaç,N,0.00,0.42
6375,24-10-30 16:29:56,39.95959196,32.87460699,Sayaç,N,0.00,0.4
6131,24-10-31 09:57:11,39.95929995,32.87864584,Sayaç,N,0.00,0.39
6283,24-10-31 11:16:08,39.96028202,32.87725801,Sayaç,N,0.00,0.39
6247,24-10-31 14:17:39,39.96237599,32.87646296,Sayaç,N,0.00,0.39
6214,24-10-31 10:23:59,39.95910248,32.87720149,Sayaç,N,0.00,0.38
6181,24-10-31 10:45:45,39.96011832,32.87781755,Sayaç,N,0.00,0.38
6234,24-10-31 11:02:25,39.96069447,32.87795031,Sayaç,N,0.00,0.38
6243,24-10-31 11:10:10,39.96054704,32.87557002,Sayaç,N,0.00,0.38
6275,24-10-31 14:09:26,39.96012475,32.87967632,Sayaç,N,0.00,0.37
6313,24-10-31 11:11:59,39.96095223,32.87803983,Sayaç,N,0.00,0.36
6246,24-10-31 14:43:13,39.96105805,32.880693,Sayaç,N,0.00,0.36
6256,24-10-31 10:23:34,39.95962001,32.87784001,Sayaç,N,0.00,0.34
6180,24-10-31 11:34:04,39.96029641,32.87768243,Sayaç,N,0.00,0.34
6125,24-10-30 16:12:57,39.96051125,32.87364939,Sayaç,N,0.00,0.33
6252,24-10-31 10:33:22,39.96048143,32.87866948,Sayaç,N,0.00,0.32
6195,24-10-31 11:20:56,39.95991993,32.87593732,Sayaç,N,0.00,0.32
6127,24-10-30 16:21:53,39.96063393,32.8735411,Sayaç,N,0.00,0.3
6203,24-10-31 10:40:32,39.95943501,32.87507696,Sayaç,N,0.00,0.28
6251,24-10-31 11:20:49,39.96026502,32.87762405,Sayaç,N,0.00,0.25
255,24-11-01 03:00:00,39.95896392,32.88272946,Sayaç,N,0.00,99.37
254,24-11-01 03:10:00,39.95896392,32.88272946,Sayaç,N,0.00,113.05
253,24-11-01 03:20:00,39.95896392,32.88272946,Sayaç,N,0.01,94.57
252,24-11-01 03:30:00,39.95896392,32.88272946,Sayaç,N,0.00,95.88
251,24-11-01 03:00:00,39.95876894,32.88271192,Sayaç,L,1.00,4.53
250,24-11-01 03:10:00,39.95876894,32.88271192,Sayaç,L,1.00,5.37
249,24-11-01 03:20:00,39.95876894,32.88271192,Sayaç,L,1.00,5.24
248,24-11-01 03:30:00,39.95876894,32.88271192,Sayaç,L,1.00,5.67
259,24-11-01 03:00:00,39.95904216,32.88260427,Vana,N,0.25,12
258,24-11-01 03:10:00,39.95904216,32.88260427,Vana,N,0.03,12.18
257,24-11-01 03:20:00,39.95904216,32.88260427,Vana,N,0.38,11.35
256,24-11-01 03:30:00,39.95904216,32.88260427,Vana,N,0.19,9.69
263,24-11-01 03:00:00,39.9589847,32.88298863,Sayaç,N,0.00,1.49
262,24-11-01 03:10:00,39.9589847,32.88298863,Sayaç,N,0.01,0.86
261,24-11-01 03:20:00,39.9589847,32.88298863,Sayaç,N,0.02,0.9
260,24-11-01 03:30:00,39.9589847,32.88298863,Sayaç,N,0.00,0.91
6145,24-10-31 09:17:57,39.95876502,32.88033715,Boru,L,0.99,76.75
6394,24-11-01 10:09:45,39.95890148,32.88260495,Boru,L,0.99,60.38
6403,24-11-01 10:17:58,39.96011036,32.88368018,Boru,L,1.00,53.4
6408,24-11-01 10:19:47,39.96012526,32.88368152,Boru,L,1.00,50.85
6152,24-10-31 09:26:14,39.95875834,32.88029859,Boru,L,0.99,44.37
6395,24-11-01 10:10:09,39.95889891,32.88257545,Boru,L,0.99,43.14
6393,24-11-01 10:09:22,39.95889917,32.88261635,Boru,L,0.99,37.37
6392,24-11-01 10:08:53,39.95890251,32.8826415,Boru,L,0.99,31.05
6146,24-10-31 09:19:59,39.95876142,32.88030596,Boru,L,1.00,27.08
6396,24-11-01 10:10:35,39.95889866,32.88255097,Boru,L,0.99,26.3
6150,24-10-31 09:23:11,39.95875269,32.88019834,Boru,L,0.99,6.72
6147,24-10-31 09:20:49,39.9587586,32.88028384,Boru,L,0.99,4.06
6398,24-11-01 10:10:54,39.95889634,32.8825275,Boru,L,0.96,4.03
6350,24-10-31 15:40:37,39.9601845,32.87949074,Boru,L,0.99,3.95
6151,24-10-31 09:23:34,39.95874883,32.8801675,Boru,N,0.18,3.61
6149,24-10-31 09:21:57,39.95875474,32.88023287,Boru,L,0.99,3.13
6148,24-10-31 09:21:28,39.95875551,32.88025802,Boru,N,0.45,3.02
6341,24-10-31 15:22:35,39.95929202,32.87834696,Boru,N,0.01,0.97
